2.00	1.00	1.00	1.00	1.00	5.00	4.00	1.00
2.00	4.00	2.01	2.00	1.00	4.00	4.00	1.00
2.00	4.00	5.00	5.00	3.00	3.00	3.00	0.00
2.00	3.00	2.00	2.00	2.00	6.00	5.00	0.00
1.00	3.00	4.00	5.00	5.00	1.00	2.00	0.00
4.00	4.00	4.00	2.00	3.00	3.00	2.00	1.00
2.00	1.00	3.00	3.00	2.00	3.00	4.00	1.00
2.00	3.00	4.00	6.00	3.00	3.00	3.00	1.00
2.00	3.00	4.99	4.00	2.00	3.01	1.99	0.00
1.00	2.00	2.00	2.00	3.00	4.00	4.00	1.00
2.00	3.00	6.00	6.00	2.00	3.00	2.00	1.00
2.00	3.00	6.00	6.00	4.00	1.00	3.00	0.00
2.04	2.96	3.00	1.96	5.08	3.00	4.00	1.00
2.00	1.00	5.00	3.00	2.00	4.00	4.00	1.00
4.00	4.07	1.00	2.07	1.00	2.93	4.00	1.00
2.00	4.09	3.91	5.09	2.00	3.00	3.09	1.00
2.00	3.00	3.00	2.00	4.99	3.00	4.00	0.00
0.68	4.32	4.32	3.32	5.00	3.00	2.68	0.00
5.00	4.00	3.00	2.00	3.00	4.00	4.00	0.00
1.00	3.99	4.01	1.71	2.42	4.30	5.60	1.00
4.00	4.00	4.00	6.00	3.00	2.00	3.00	1.00
4.00	2.00	5.00	3.00	2.00	5.00	5.00	0.00
1.00	3.00	6.00	5.00	5.00	3.00	4.00	0.00
2.00	3.00	3.01	3.01	2.00	3.99	1.01	0.00
1.00	4.00	3.00	6.00	5.00	3.00	3.00	0.00
4.00	2.00	3.00	2.00	1.00	6.00	6.00	1.00
1.00	4.00	4.00	3.00	5.00	3.00	3.00	1.00
4.00	5.00	4.00	5.00	3.00	2.00	1.00	0.00
1.00	3.00	6.00	3.00	3.00	4.00	4.00	1.00
2.00	2.00	3.00	2.00	3.00	1.00	4.00	1.00
4.00	3.00	4.00	5.00	2.00	4.00	1.00	1.00
1.00	4.00	4.00	2.00	3.00	4.00	5.00	0.00
3.84	4.00	4.16	2.00	1.84	5.16	4.00	0.00
4.00	4.00	4.00	2.00	2.00	5.00	4.00	0.00
2.00	1.00	3.00	3.00	2.00	3.00	1.00	0.00
1.15	2.97	6.00	5.15	4.00	1.00	2.21	0.00
4.02	1.98	5.00	3.00	2.00	5.01	4.99	1.00
1.00	4.00	6.00	6.00	4.00	3.00	1.00	0.00
1.00	4.00	4.00	1.99	3.00	4.00	5.00	0.00
1.00	3.00	6.00	5.00	4.00	1.00	2.00	0.00
1.00	3.90	3.99	1.89	2.34	4.13	5.55	0.00
1.00	4.01	4.00	1.60	2.17	4.38	5.80	0.00
1.88	3.00	4.66	5.88	5.34	1.00	2.88	0.00
5.09	4.00	4.01	2.15	1.86	5.24	3.39	0.00
2.00	4.00	2.00	2.00	1.00	4.00	4.00	0.00
2.00	4.00	3.05	2.00	2.06	3.37	2.10	0.00
4.12	4.00	4.00	3.00	3.00	2.00	3.00	0.00
4.02	2.64	2.64	1.64	3.00	3.36	4.36	0.00
2.00	4.00	0.84	2.56	3.59	3.93	1.42	0.00
2.00	4.00	0.87	1.79	2.81	3.92	2.20	0.00
2.00	1.43	3.44	4.00	3.56	3.00	3.55	0.00
2.00	2.61	5.33	4.58	1.98	3.08	2.20	0.00
0.61	3.00	3.59	5.45	3.41	3.01	3.41	0.00
2.00	2.99	2.98	2.00	4.94	2.99	3.96	0.00
1.02	3.00	5.96	5.02	4.03	1.01	2.02	0.00
4.80	2.97	3.15	2.13	3.02	3.65	4.41	0.00
5.61	4.03	4.00	3.03	3.00	2.02	3.00	0.00
2.00	3.00	4.10	6.22	2.83	3.52	2.85	0.00
4.00	3.00	1.00	1.00	2.00	4.00	4.00	0.00
-0.52	4.40	4.35	1.97	3.02	4.14	5.24	0.00
1.16	5.83	4.08	5.13	3.37	2.73	2.99	0.00
2.31	6.62	2.16	2.00	3.15	2.60	3.85	0.00
