1.00	4.00	3.00	2.00	2.00	4.00	3.00	1.00
2.00	1.00	3.00	3.00	2.00	3.00	1.00	0.00
2.00	1.00	4.00	3.00	2.00	5.00	5.00	1.00
1.00	4.00	6.00	6.00	4.00	3.00	1.00	0.00
1.00	3.00	6.00	5.00	5.00	3.00	4.00	0.00
1.00	4.00	3.00	6.00	5.00	3.00	3.00	0.00
4.00	5.00	4.00	5.00	3.00	2.00	1.00	0.00
4.00	2.00	3.00	2.00	1.00	6.00	6.00	1.00
4.00	4.00	4.00	6.00	3.00	2.00	3.00	1.00
4.00	3.00	4.00	5.00	2.00	4.00	1.00	1.00
1.00	4.00	6.00	6.00	4.00	1.00	1.00	0.00
4.00	3.00	5.00	4.00	3.00	4.00	4.00	0.00
4.00	4.00	4.00	2.00	2.00	5.00	4.00	1.00
1.00	3.00	4.00	5.00	5.00	1.00	2.00	0.00
2.00	3.00	4.00	3.00	3.00	1.00	2.00	0.00
2.00	1.00	1.00	1.00	2.00	6.00	4.00	0.00
2.00	3.00	5.00	4.00	2.00	3.00	2.00	0.00
2.00	3.00	3.00	2.00	2.00	4.00	1.00	0.00
2.34	2.56	3.29	2.86	1.43	4.00	5.11	1.00
2.00	3.00	2.00	2.00	2.00	6.00	5.00	0.00
2.00	4.00	1.00	2.00	3.00	4.00	2.00	0.00
